Life expectancy ,Adult Mortality,GDP,Income composition of resources,Status
76.7,115,2832.188893,0.686,1
76.7,122,9143.128494,0.758,1
76.7,7,251.18329,0.815,1
76.7,78,4335.64268,0.829,1
76.7,128,13893.18768,0.829,0
76.7,83,675.61258,0.83,1
76.8,92,4716.673325,0.728,1
76.8,127,7429.628274,0.755,1
76.8,117,16881.2568,0.788,1
76.8,117,16737.89827,0.791,1
76.8,7,24983.3792,0.82,1
76.8,82,82967.37228,0.825,1
76.8,125,13145.1484,0.834,0
76.8,88,27965.4754,0.841,1
76.9,115,2741.11542,0.679,1
76.9,92,55.156834,0.711,1
76.9,86,4247.61438,0.752,1
76.9,11,11729.14616,0.782,0
76.9,69,22688.87824,0.823,1
76.9,77,44449.7435,0.832,1
76.9,79,35268.1117,0.845,1
76.9,127,1929.7746,0.856,1
76.9,12,3743.55917,0.86,0
77,178,519.958715,0,1
77,137,856.342857,0.557,1
77,137,213.755559,0.569,1
77,148,1373.515636,0.569,1
77,196,2825.5247,0.602,1
77,144,5854.614497,0.649,1
77,175,1668.162731,0.703,0
77,178,2124.873613,0.714,0
77,9,535.86555,0.735,1
77,25,3855.42128,0.739,1
77,111,14166.4998,0.78,1
77,116,15524.84247,0.794,1
77,14,14539.18421,0.808,0
77,79,61478.23813,0.828,1
77,89,28223.55528,0.857,0
77,12,3751.64946,0.862,0
77,14,33228.69291,0.875,0
77.1,14,13235.97757,0.815,0
77.1,75,3911.74689,0.836,1
77.1,12,1378.54911,0.838,0
77.1,84,44597.27968,0.86,1
77.2,19,3779.577,0.719,1
77.2,89,5193.94932,0.742,1
77.2,84,4414.72314,0.759,1
77.2,12,1589.82713,0.765,1
77.2,17,12882.28897,0.788,0
77.2,84,37951.286,0.84,1
77.2,113,1726.9151,0.85,0
77.3,67,6497.55443,0.663,1
77.3,17,339.716256,0.705,1
77.3,13,511.368479,0.755,1
77.3,121,927.723171,0.758,1
77.3,16,4595.666327,0.761,1
77.3,15,15772.7334,0.789,0
77.3,76,736.22784,0.825,1
77.3,12,14341.675,0.85,0
77.3,122,19941.45532,0.86,1
77.3,11,4458.7764,0.882,0
77.4,18,3192.669378,0.694,1
77.4,88,4574.9787,0.747,1
77.4,79,4717.273,0.846,1
77.4,88,32539.1937,0.862,0
77.5,1,3981.52847,0.708,1
77.5,8,4575.763787,0.761,1
77.5,118,11685.97983,0.773,1
77.5,8,1139.5651,0.779,0
77.5,74,85948.746,0.827,1
77.5,15,24253.2542,0.847,1
77.5,117,12565.9876,0.852,0
77.5,14,18169.1891,0.853,0
77.6,65,6541.7465,0.675,1
77.6,98,388.363689,0.702,1
77.6,119,12593.7374,0.78,1
77.6,119,1774.9291,0.863,1
77.6,8,4159.8652,0.863,1
77.6,11,2327.4591,0.869,0
77.7,19,2994.339988,0.692,1
77.7,12,4425.57467,0.719,1
77.7,11,18784.9485,0.79,0
77.7,97,13574.749,0.817,0
77.7,78,3967.8951,0.864,1
77.7,98,46511.6457,0.893,0
77.8,74,3954.22783,0.762,1
77.8,11,4463.545867,0.768,1
77.8,79,1121.78636,0.783,0
77.8,118,13134.4367,0.785,1
77.8,97,13467.46827,0.82,0
77.8,72,88564.82298,0.837,1
77.8,98,48735.99549,0.848,0
77.9,64,7112.33575,0.683,1
77.9,12,5376.447622,0.771,1
77.9,1,4787.699532,0.775,1
77.9,7,8834.87958,0.843,1
78,129,298.67598,0.587,1
78,149,2643.441423,0.589,1
78,14,3119.63716,0.653,1
78,179,1839.72945,0.708,0
78,1,4167.71417,0.715,1
78,16,5245.187372,0.727,1
78,148,7145.628494,0.727,1
78,132,495.294791,0.728,1
78,14,4669.6916,0.732,1
78,23,314.658296,0.746,1
78,29,5134.95694,0.761,0
78,218,47.32827,0.764,1
78,174,19152.531,0.772,1
78,97,621.828325,0.781,1
78,225,4498.95727,0.781,1
78,98,5676.14143,0.784,1
78,99,1845.5881,0.792,0
78,222,7863.1629,0.798,0
78,221,1444.1589,0.814,0
78,95,11579.6674,0.823,0
78,96,48179.4285,0.854,0
78,95,23718.7467,0.855,0
78,1,24913.24452,0.856,1
78,82,4117.15532,0.87,0
78,1,23121.56635,0.873,0
78,99,2552.3328,0.875,0
78.1,16,8199.414621,0.749,1
78.1,14,5184.494227,0.754,1
78.1,11,5484.7763,0.782,1
78.1,7,14672.8826,0.798,0
78.1,96,24517.26745,0.833,0
78.1,69,86852.7119,0.854,1
78.1,17,19726.1265,0.858,0
78.1,98,26834.2625,0.863,1
78.1,84,25921.12794,0.873,0
78.1,92,48799.8237,0.897,0
78.1,93,5226.99311,0.902,0
78.2,62,7716.2415,0.693,1
78.2,75,11843.9392,0.786,0
78.2,84,1242.95373,0.794,1
78.2,69,1562.92433,0.8,0
78.2,68,66346.52267,0.855,1
78.3,99,462.14965,0.712,1
78.3,78,23792.677,0.81,0
78.3,79,47651.2599,0.852,1
78.3,95,5293.64115,0.86,0
78.3,92,23687.31689,0.86,0
78.3,12,23841.31792,0.865,0
78.3,95,3743.95693,0.878,0
78.3,82,26584.12169,0.878,0
78.3,82,47631.6377,0.88,0
78.4,93,7615.3468,0.79,1
78.4,68,16372.29152,0.805,0
78.4,98,32816.1688,0.866,1
78.4,91,2525.16445,0.867,0
78.4,81,28817.32321,0.882,0
78.4,93,58487.451,0.904,0
78.5,61,8395.785198,0.701,1
78.5,71,13689.98999,0.79,0
78.5,96,19821.44463,0.793,0
78.5,66,2293.4789,0.815,0
78.5,83,13882.85683,0.868,0
78.5,9,3359.95215,0.872,0
78.5,85,38146.71539,0.911,0
78.6,97,4697.11135,0.723,1
78.6,65,23932.49128,0.823,0
78.6,92,24489.73553,0.837,0
78.6,87,13641.1272,0.864,0
78.6,92,65445.8853,0.865,0
78.7,96,676.15344,0.773,1
78.7,96,6425.941119,0.778,1
78.7,69,1519.5497,0.797,0
78.7,94,2278.5845,0.797,0
78.7,83,12538.17883,0.801,1
78.7,76,21577.7823,0.82,0
78.7,65,25324.48666,0.826,0
78.7,9,26351.37568,0.847,0
78.7,92,75716.3518,0.867,0
78.7,12,37636.11173,0.869,1
78.7,83,16874.31232,0.873,0
78.7,8,35245.1647,0.881,0
78.7,78,5886.82789,0.889,0
78.8,92,675.92436,0.78,1
78.8,64,27169.99256,0.829,0
78.8,88,3212.9355,0.837,0
78.8,13,22465.64184,0.844,1
78.8,9,8289.69641,0.874,0
78.8,91,35589.71295,0.88,0
78.8,88,64322.6664,0.906,0
78.8,82,38549.58934,0.917,0
78.9,93,612.623418,0.734,1
78.9,99,6911.136136,0.74,1
78.9,91,9484.681227,0.796,1
78.9,9,1526.87746,0.797,1
78.9,63,31386.63265,0.836,0
78.9,76,2152.1432,0.845,1
78.9,89,36967.28292,0.861,0
78.9,11,38969.17163,0.864,1
78.9,96,2751.8127,0.869,0
78.9,86,58163.29359,0.906,0
78.9,81,4361.1538,0.916,0
79,176,5292.232379,0,1
79,19,2794.22189,0.589,1
79,172,1545.626423,0.625,1
79,169,197.29417,0.659,1
79,98,9186.59639,0.752,1
79,93,75.5199,0.772,1
79,92,24815.6884,0.804,0
79,67,15835.34667,0.805,0
79,81,1411.31339,0.811,1
79,74,2216.83279,0.818,0
79,13,22527.31775,0.849,1
79,78,54326.9713,0.896,0
79.1,92,762.261218,0.773,1
79.1,89,1286.17764,0.815,1
79.1,86,14676.769,0.82,0
79.1,81,18477.57841,0.823,1
79.1,62,3539.7488,0.844,0
79.1,82,24124.16917,0.864,1
79.1,9,24633.79785,0.873,0
79.1,86,34165.9343,0.877,0
79.1,82,21913.7817,0.881,0
79.2,96,689.396224,0.747,1
79.2,97,9985.36959,0.758,1
79.2,81,21955.149,0.83,1
79.2,11,24275.2426,0.851,1
79.2,96,4112.67651,0.869,1
79.2,79,2542.39935,0.884,0
79.2,85,34696.6292,0.884,0
79.2,77,39954.64222,0.885,0
79.2,84,5841.41122,0.906,0
79.3,9,2363.97161,0.809,0
79.3,66,16671.5672,0.809,0
79.3,91,1243.32824,0.816,1
79.3,73,23573.6284,0.819,0
79.3,81,22551.73574,0.839,1
79.3,86,36693.4262,0.841,0
79.3,6,3215.8159,0.849,0
79.3,74,236.19646,0.85,1
79.3,99,29691.18158,0.852,1
79.3,74,18431.15696,0.855,1
79.3,96,48288.5491,0.873,1
79.4,96,1569.66631,0.762,1
79.4,77,251.2426,0.823,0
79.4,84,15323.6114,0.825,0
79.4,83,21495.7741,0.83,0
79.4,85,38242.4252,0.848,0
79.4,8,28827.32636,0.855,1
79.4,85,38852.3613,0.865,0
79.4,8,23691.59472,0.867,1
79.4,85,89739.7117,0.88,0
79.4,72,41577.169,0.888,0
79.4,78,5111.65445,0.918,0
79.5,96,1647.44179,0.768,1
79.5,83,1719.53541,0.828,0
79.5,59,3818.46396,0.853,0
79.5,86,4443.83131,0.871,0
79.5,87,23437.4722,0.872,0
79.5,79,24167.8431,0.872,1
79.5,87,48424.58927,0.874,0
79.5,78,2169.921,0.897,0
79.5,75,61388.17457,0.902,0
79.6,95,1146.36273,0.775,1
79.6,88,1781.3668,0.804,1
79.6,65,19375.5696,0.808,0
79.6,88,22538.6548,0.812,0
79.6,73,29283.55,0.873,0
79.6,94,5341.31487,0.876,1
79.6,84,36447.87232,0.892,0
79.7,71,2745.27136,0.82,0
79.7,74,31813.37344,0.847,0
79.7,57,32233.83942,0.847,0
79.7,77,2481.15781,0.85,1
79.7,71,18946.99942,0.863,1
79.7,82,1618.4928,0.877,0
79.7,78,28172.14883,0.877,1
79.7,91,4717.15571,0.878,1
79.7,78,37813.23426,0.879,0
79.7,77,51983.78892,0.909,0
79.7,79,61753.667,0.91,0
79.8,86,1475.69242,0.82,1
79.8,75,24.819,0.828,0
79.8,81,443.99361,0.854,0
79.8,85,4488.5615,0.876,0
79.8,84,24985.24827,0.876,0
79.8,73,26969.24457,0.877,0
79.8,71,44453.97119,0.893,0
79.8,82,41814.8191,0.898,0
79.8,75,61235.415,0.908,0
79.8,77,5757.26916,0.924,0
79.9,84,15431.9293,0.826,1
79.9,72,27387.2258,0.841,0
79.9,77,31997.2821,0.853,1
79.9,89,4622.41516,0.874,1
79.9,71,29571.7446,0.88,0
79.9,78,2775.89515,0.886,0
79.9,76,2667.86452,0.888,0
79.9,75,19517.84168,0.899,0
79.9,73,281.81763,0.902,0
79.9,8,45699.19832,0.903,0
80,64,21928.767,0.813,0
80,72,22196.5736,0.836,0
80,56,28951.15556,0.85,0
80,72,28585.9254,0.854,0
80,78,2971.973,0.857,1
80,71,2611.17931,0.866,1
80,81,4438.23741,0.878,0
80,77,31979.87195,0.881,1
80,8,114293.8433,0.887,0
80,79,41732.7725,0.906,0
80,76,5857.521,0.922,0
81,58,2193.8836,0.821,0
81,84,15941.39722,0.831,1
81,79,24918.64584,0.833,0
81,77,2651.71745,0.837,0
81,54,2797.96736,0.85,0
81,93,34879.72633,0.86,1
81,8,46586.6525,0.86,0
81,69,19888.172,0.863,1
81,72,187.78991,0.865,1
81,65,29657.4421,0.877,1
81,62,56249.7555,0.879,0
81,76,36189.58838,0.886,1
81,76,3259.73471,0.891,0
81,75,31287.77865,0.894,0
81,69,53255.97631,0.895,0
81,72,4773.45436,0.898,1
81,67,5234.76736,0.902,0
81,76,41785.55691,0.907,0
81,67,3416.71483,0.91,0
81,68,41176.88158,0.924,0
81,75,61191.19263,0.924,0
81,73,66775.3944,0.929,0
81,66,87646.75346,0.936,0
81.1,57,2393.1888,0.828,0
81.1,76,1922.681,0.841,0
81.1,74,38532.488,0.852,0
81.1,65,39223.58187,0.873,0
81.1,88,41631.13141,0.879,1
81.1,61,5613.54115,0.884,0
81.1,68,554.71532,0.887,0
81.1,7,16749.136,0.892,0
81.1,76,4245.39744,0.893,1
81.1,74,4356.875,0.895,0
81.1,62,55746.84238,0.897,0
81.1,66,54797.54663,0.899,0
81.1,7,3997.25624,0.904,0
81.1,63,5354.6536,0.911,0
81.1,62,49474.7561,0.921,0
81.1,67,1574.9861,0.939,0
81.2,65,3341.7482,0.856,0
81.2,7,47447.4762,0.898,1
81.2,66,5553.32623,0.91,0
81.2,66,36118.28381,0.915,0
81.3,7,35578.73619,0.854,0
81.3,63,37698.78573,0.862,0
81.3,86,473.34279,0.879,1
81.3,59,68348.31817,0.887,0
81.3,69,42889.88141,0.908,0
81.3,66,4991.98289,0.918,0
81.3,66,49664.6854,0.921,0
81.3,61,11563.727,0.941,0
81.4,55,2618.92599,0.847,0
81.4,64,39721.4818,0.88,0
81.4,66,51322.63997,0.892,0
81.4,58,55575.29196,0.892,0
81.4,68,113751.85,0.892,0
81.4,62,4627.592,0.898,0
81.4,64,6664.144,0.92,0
81.4,6,51574.48942,0.922,0
81.5,72,33846.46564,0.856,0
81.5,61,464.18465,0.866,0
81.5,63,27795.87671,0.876,1
81.5,83,4838.2444,0.885,1
81.5,65,43665.947,0.892,0
81.5,58,5276.25591,0.895,0
81.5,68,5282.2176,0.903,1
81.5,65,57348.92788,0.904,0
81.5,67,4453.24673,0.91,0
81.5,62,1291.435,0.942,0
81.6,66,32333.4661,0.858,0
81.6,61,36976.84512,0.868,0
81.6,55,4461.89251,0.894,0
81.6,68,52496.69487,0.907,1
81.6,66,3821.8937,0.913,0
81.6,61,975.49856,0.945,0
81.7,54,23819.4636,0.853,0
81.7,61,3661.994,0.878,1
81.7,83,4381.288,0.882,1
81.7,62,38577.55822,0.887,0
81.7,65,119172.7418,0.892,0
81.7,58,59593.28711,0.901,0
81.7,57,57134.777,0.903,0
81.7,63,63223.46778,0.911,0
81.7,58,52157.4687,0.923,0
81.7,66,42742.99898,0.925,0
81.8,7,32289.3554,0.86,0
81.8,6,35849.37364,0.869,0
81.8,61,33657.15727,0.883,1
81.8,6,32569.59683,0.889,1
81.8,53,41676.44527,0.894,0
81.8,67,52413.72116,0.909,1
81.8,59,7455.24654,0.948,0
81.9,64,3736.228,0.86,0
81.9,7,3488.3992,0.863,0
81.9,57,6283.24522,0.904,0
81.9,57,44292.88473,0.923,0
81.9,64,51874.848,0.927,0
82,63,2675.58259,0.815,0
82,85,23196.18375,0.818,0
82,69,29869.85398,0.821,0
82,94,33874.74255,0.857,1
82,69,37217.64873,0.87,0
82,77,47654.18721,0.87,0
82,61,28562.29324,0.871,0
82,6,38334.68477,0.872,0
82,81,22486.47167,0.877,0
82,6,34814.12436,0.877,0
82,69,36961.42537,0.882,0
82,81,42554.1225,0.887,1
82,75,38538.64447,0.888,0
82,61,46569.67951,0.889,0
82,63,1199.8223,0.896,0
82,68,51241.31562,0.899,0
82,65,544.43376,0.912,1
82,6,72119.5687,0.914,0
82,63,62245.129,0.927,0
82.1,68,37688.72234,0.866,0
82.1,63,31834.21816,0.867,0
82.1,61,36393.66932,0.891,1
82.1,51,46.217,0.894,0
82.1,6,69672.471,0.916,0
82.2,79,42955.24287,0.89,1
82.2,6,37582.84624,0.895,1
82.2,6,53166.67581,0.911,0
82.2,64,43315.744,0.919,1
82.3,58,3537.27441,0.876,0
82.3,54,5918.19898,0.906,0
82.3,57,74276.71842,0.92,0
82.3,61,67677.63477,0.93,0
82.4,68,35433.98896,0.873,0
82.4,6,2921.9342,0.874,0
82.4,78,36526.7711,0.894,1
82.4,5,4781.3888,0.907,0
82.4,53,5585.25847,0.909,0
82.5,57,35396.66517,0.877,0
82.5,64,48167.99727,0.884,0
82.5,58,35729.37253,0.898,1
82.5,5,44333.8518,0.901,0
82.5,49,52473.11356,0.915,0
82.5,59,54431.16199,0.917,0
82.5,61,67792.3386,0.933,0
82.6,58,296.47225,0.877,0
82.6,67,35275.22843,0.877,0
82.6,55,87998.44468,0.932,0
82.7,66,39339.29757,0.88,0
82.7,56,349.14755,0.881,0
82.7,49,5734.4436,0.919,0
82.7,57,5629.18914,0.92,0
82.7,54,83164.38795,0.932,0
82.7,6,62214.6912,0.936,0
82.8,56,25683.84565,0.882,0
82.8,59,56554.3876,0.937,0
82.9,56,56336.7234,0.922,0
83,62,2187.79469,0.819,0
83,81,2577.4264,0.824,0
83,83,14817.37778,0.841,1
83,53,2734.88382,0.85,0
83,76,26917.75898,0.859,1
83,86,579.72415,0.878,1
83,62,4457.67639,0.879,0
83,64,4855.17564,0.881,0
83,8,4772.77415,0.884,0
83,78,4474.5717,0.886,0
83,76,13198.6693,0.888,0
83,7,42442.2245,0.888,0
83,71,23465.38559,0.905,0
83,68,56928.8248,0.905,0
83,52,84658.88768,0.934,0
83.1,55,53629.73746,0.924,0
83.2,51,85814.58857,0.936,0
83.3,58,4863.47665,0.889,0
83.4,49,8989.8424,0.938,0
83.5,56,4454.44746,0.894,0
83.5,57,3896.21151,0.899,0
83.7,55,34474.13736,0.902,0
84,76,22242.68193,0.858,1
84,7,31996.2172,0.859,0
84,76,51386.37665,0.864,0
84,68,2195.1769,0.87,1
84,68,258.637,0.872,1
84,75,46657.629,0.872,0
84,82,47415.55987,0.884,1
84,74,41336.72192,0.89,0
84,7,52567.52568,0.909,0
84,73,62425.5392,0.926,0
84,7,74114.69715,0.931,0
85,82,13653.2264,0.845,1
85,52,2375.1127,0.854,0
85,76,25916.29353,0.86,1
85,78,2315.31799,0.878,0
85,72,4796.56497,0.889,0
85,66,4385.35315,0.89,0
85,75,4386.69948,0.891,1
85,74,44544.5268,0.894,1
85,73,282.94193,0.895,0
85,69,49231.36254,0.895,0
85,74,4681.32796,0.912,0
85,67,85128.65759,0.934,0
86,79,21618.73534,0.827,0
86,74,21874.8195,0.86,1
86,92,36544.5853,0.87,1
86,73,14965.361,0.884,0
86,72,38426.5581,0.901,0
86,65,519.349,0.906,0
86,68,48538.58776,0.907,0
86,69,3472.37977,0.908,0
86,71,4465.24891,0.916,0
86,71,4653.91143,0.919,0
86,71,5314.64416,0.923,0
86,67,9688.5961,0.936,0
87,59,22821.847,0.826,0
87,66,33579.85948,0.839,0
87,65,3944.999,0.866,0
87,79,49638.7713,0.887,1
87,76,242.67286,0.888,0
87,77,4651.38647,0.889,0
87,74,46596.33599,0.897,1
88,73,28482.6948,0.844,0
88,66,31959.26215,0.851,0
88,73,21673.7817,0.862,1
88,65,46917.27216,0.873,0
88,73,51126.74139,0.88,0
88,7,48333.57273,0.884,0
88,74,2729.86383,0.888,0
88,64,46256.4716,0.892,0
88,72,115761.577,0.894,0
88,64,5338.25483,0.906,0
89,78,2277.53613,0.837,0
89,66,31174.56118,0.846,0
89,72,3279.414,0.849,0
89,89,416.58397,0.873,1
89,88,45413.6571,0.877,1
89,76,47439.39684,0.89,0
89,78,49914.61864,0.89,1
89,63,53324.37937,0.895,0
89,71,33691.34837,0.899,0
